h_adjunct_mode_end_fixup 00096BF4
hypervisor_call_asm_start_fixup 00096C30
hypervisor_call_asm_end_fixup 00096C94
swtch_point          00146434
swtch_kkeys          00146440
swtch_fixup          0014647C
util_state_save64slb_point 00146524
runlatch_state_save64slb_point 0014652C
reset_dscr64_point   00146534
vrsave_patch_1       001465CC
state_save_point     00146658
dabr_state_save_sslb_point 001466B8
runlatch_resume64slb_point 001468E8
util_resume64slb_point 001468EC
dabr_resume_sslb_point 001468F0
resume_point         001468F4
set_smt_pri_resume   001468F8
dscr_resume_point    00146938
copro_resume_point   0014693C
vrsave_patch_2       00146940
ovlya_addr_resume    001469E0
resume_trace         00146A44
resume_trace_cont    00146A8C
state_save_fixup     00146AD0
resume_fixup         00146B80
util_state_save64slb_fixup 00146BFC
util_state_save64slb_h_purr_point 00146C84
util_state_save64slb_h_purr_fixup 00146D44
util_resume64slb_fixup 00146DA4
util_resume64slb_h_purr_point 00146E38
util_resume64slb_h_purr_fixup 00146EE0
dabr_state_save_sslb_fixup 00146F34
dabr_resume_sslb_fixup 00146F70
reset_dscr64_fixup   00146FC0
dscr_resume_fixup    00146FD0
copro_resume_fixup   00146FF0
runlatch_state_save64slb_fixup 0014700C
runlatch_resume64slb_fixup 00147028
errinj_trap          0014CCD4
finish_interrupt_point 0014CDF0
run_dispatch         0014D06C
call_dispatch_nop    0014D078
call_dispatch_point  0014D0FC
adspace_switch_before_point 0014D114
adspace_switch_after_point 0014D11C
finish_interrupt_fixup 0014D56C
call_dispatch_fixup  0014D580
adspace_switch_before_fixup 0014D628
adspace_switch_after_fixup 0014D640
frr_add_rtec         0014F554
frr_add_rtec_get_amr 0014F5D4
frr_addfrr_rtec      0014F684
frr_delete_rtec      0014F72C
frr_reentry_rtec     0014F80C
frr_reentry_rtec_get_amr 0014F870
frr_reentry_delete_rtec 0014F914
slb_dseg_p6dd1_wa_point 00153000
slb_dseg_stats_gbl_point 00153024
slb_iseg_p6dd1_wa_point 0015302C
slb_iseg_stats_gbl_point 00153050
slb_ksp_256mb_fixup  00153080
slb_ksp_1tb_fixup    001530B4
slb_ksp_256mb_point  0015310C
slb_ksp_1tb_point    00153110
set_smt_pri_slb_ksp_esid 00153148
useracc_global_esid_segs_point 001532B4
set_smt_pri_slb_global_esid 001532BC
useracc_global_esid_segs_fixup 00153300
shm_map_slb_load_point 00153388
shm_map_slb_load_fixup 00153390
slb_user_tmm_fixup   00153400
slb_user_tmm_point   00153498
slb_stats_usr_point  001534AC
slb_user_1tb_chk_point 00153560
set_smt_pri_user_slb_found 001537C0
ovlya_addr_slb_sr_flih 00153A90
ovlya_addr_slb_mc_flih 00153B48
slb_iseg_stats_gbl_fixup 00153B74
slb_dseg_stats_gbl_fixup 00153B98
slb_stats_usr_fixup  00153BC4
slb_user_1tb_chk_fixup 00153C10
slb_dseg_p6dd1_wa_fixup 00153D08
set_smt_pri_user_1tb_check 00153D78
ovlya_addr_dsis_common 00153E10
dsis_slbfee          00153E54
state_save_ret       00153F08
dsis_acop_violation  00153F08
copy_backt_mst_stab_point 00154068
copy_backt_mst_pfault_point 00154314
_overflow            00154488
ovlya_addr_dsis_pmap_replace 001544EC
ovlya_addr_dsis_pmap_restore 00154504
ovlya_addr_v_reload  00154580
set_smt_pri_check_overflow 001545BC
copy_backt_mst_stab_fixup 001547A0
copy_backt_mst_pfault_fixup 001547AC
dsis_trace           001549A8
dsis_trace_cont      001549F0
ovlya_addr_al_flih1  00154A5C
al_common            00154A64
alignlo              00154A7C
ovlya_addr_al_flih2  00154A84
al_bgptab            00154B08
lwarx_604_2          00157440
al_ret               00157D54
